Problem,Deliveries,Demand,Avg.Bags.Del,Time Window,Sol. Distance, Sol. Time,Sol. CostDel,Routes,Sol. Cost,Sol. Avg. Dels Route,Sol. Loading Factor
A-n33-k5,33,446,13.0,5,2038.794513305214,2194.0,3.7249752422796187,6,1661.33895805671,5,74.33333333333333
0,1,2,3,4,5,6,7,8,9,
Grand front ,4,A-n33-k5.vrp,n,11,obj0Min,1988.9461306021558,obj0Max,2393.6135103458832,obj1Min,2137.0,obj1Max,3142.0,obj2Min,4.03644121235531,obj2Max,5.564517026223636
A-n33-k5,33,446,13.0,4,1992.3545791882354,2414.0,4.546873286468663,8,2027.9054857650235,4,55.75
A-n33-k5,33,446,13.0,4,1995.0448053805148,2334.0,4.143991574505651,7,1848.2202422295202,4,63.714285714285715
A-n33-k5,33,446,13.0,4,2076.2406611279966,2281.0,4.509238020968556,8,2011.1201573519756,4,55.75
A-n33-k5,33,446,13.0,4,2097.138221238328,2252.0,4.869428636513193,9,2171.7651718848842,3,49.55555555555556
A-n33-k5,33,446,13.0,4,2006.6204589379627,2215.0,5.564517026223636,11,2481.7745936957417,3,40.54545454545455
A-n33-k5,33,446,13.0,4,2292.0289710978677,2881.0,4.099478452059307,6,1828.3673896184507,5,74.33333333333333
A-n33-k5,33,446,13.0,4,1988.9461306021558,3142.0,4.504723536503256,7,2009.1066972804524,4,63.714285714285715
A-n33-k5,33,446,13.0,4,2301.216491145439,2137.0,5.2391083620269425,10,2336.6423294640163,3,44.6
A-n33-k5,33,446,13.0,4,2281.7932913881996,2164.0,4.142981648189281,7,1847.7698150924193,4,63.714285714285715
A-n33-k5,33,446,13.0,4,2393.6135103458832,2681.0,4.03644121235531,6,1800.2527807104684,5,74.33333333333333
A-n33-k5,33,446,13.0,4,2112.5555122711744,2187.0,4.108899091784142,7,1832.5689949357275,4,63.714285714285715
0,1,2,3,4,5,6,7,8,9,
Grand front ,3,A-n33-k5.vrp,n,12,obj0Min,1910.4509129262146,obj0Max,2869.7774386678825,obj1Min,2336.0,obj1Max,2972.0,obj2Min,3.874736136693586,obj2Max,7.683775695794041
A-n33-k5,33,446,13.0,3,2869.7774386678825,2336.0,7.683775695794041,16,3426.963960324142,2,27.875
A-n33-k5,33,446,13.0,3,2201.3996746019293,2686.0,4.355972560377636,7,1942.7637619284258,4,63.714285714285715
A-n33-k5,33,446,13.0,3,1954.380632713033,2808.0,4.345880121137724,7,1938.2625340274249,4,63.714285714285715
A-n33-k5,33,446,13.0,3,1910.4509129262146,2972.0,4.775611562359567,8,2129.922756812367,4,55.75
A-n33-k5,33,446,13.0,3,1991.6890997441014,2565.0,5.34983772347547,10,2386.0276246700596,3,44.6
