prob,winlen,dist,time,costDel,routes
A-n55-k9.vrp,1,4435.585707,6284,5.634998245,18
A-n55-k9.vrp,1,4469.321113,5913,5.746734887,19
A-n55-k9.vrp,1,4440.159045,6226,5.621810022,18
A-n55-k9.vrp,1,4403.944512,6860,5.572421344,17
A-n55-k9.vrp,1,4278.681441,7229,5.642915052,17
A-n55-k9.vrp,1,4191.783307,6779,5.718997195,18
A-n55-k9.vrp,1,4147.56353,6675,5.883510051,19
A-n55-k9.vrp,1,4276.296586,6681,5.707421574,18
A-n55-k9.vrp,1,4425.003399,6581,5.508850295,17
A-n55-k9.vrp,1,4388.136648,6666,5.719442179,18
A-n55-k9.vrp,1,4555.259987,5901,5.560387865,18
A-n55-k9.vrp,1,4985.512209,5267,7.619433765,29
A-n55-k9.vrp,1,4452.377666,6131,5.014455527,15
A-n55-k9.vrp,1,4516.793953,5939,5.173140516,16
A-n55-k9.vrp,1,4726.127686,5827,5.371104814,17
A-n55-k9.vrp,1,4767.833697,5628,5.91589576,20
A-n55-k9.vrp,1,4718.423957,5687,5.532128252,18
A-n55-k9.vrp,1,4590.615466,5845,5.161027425,16
A-n55-k9.vrp,1,4494.477174,6107,5.405546876,17
A-n55-k9.vrp,1,4832.5183,5464,5.88582198,20
A-n55-k9.vrp,1,4547.439659,5629,5.689929011,19
A-n55-k9.vrp,1,4581.162018,5498,7.227170389,27
A-n55-k9.vrp,1,4703.920779,5417,7.615922206,29
A-n55-k9.vrp,1,4271.332443,5906,5.91292717,20
A-n55-k9.vrp,1,4630.489446,5587,6.277910924,22
A-n55-k9.vrp,1,4397.157799,5776,6.094955259,21
A-n55-k9.vrp,1,4281.190737,5825,6.090464024,21
A-n55-k9.vrp,1,4149.506288,6111,5.749335203,19
A-n55-k9.vrp,1,4107.972235,6423,6.013388262,20
A-n55-k9.vrp,1,5451.65159,5244,8.460838184,33
A-n55-k9.vrp,14,3546.849236,3170,3.009512945,9
A-n60-k9.vrp,1,5904.742337,7225,6.928654829,22
A-n60-k9.vrp,1,6167.101187,7085,6.734078213,21
A-n60-k9.vrp,1,6452.38465,6945,7.729709293,26
A-n60-k9.vrp,1,5399.186925,8357,6.932575236,21
A-n60-k9.vrp,1,5563.48868,7510,6.553592492,20
A-n60-k9.vrp,1,5527.314768,7553,6.558861071,20
A-n60-k9.vrp,1,5415.637692,7658,6.766260084,21
A-n60-k9.vrp,1,5450.790915,8026,6.464345642,19
A-n60-k9.vrp,1,5427.206152,7801,6.604563474,20
A-n60-k9.vrp,1,5749.343047,7459,6.369690153,19
A-n60-k9.vrp,1,5442.21855,8459,6.567598999,19
A-n60-k9.vrp,1,5410.149987,7970,6.840756995,21
A-n60-k9.vrp,1,6179.658387,7194,6.168661075,18
A-n60-k9.vrp,1,6311.066468,7064,7.144987668,23
A-n60-k9.vrp,1,6555.471625,6829,7.122786707,23
A-n60-k9.vrp,1,5809.670757,7334,6.743705041,21
A-n60-k9.vrp,1,5821.32251,7116,7.08841343,23
A-n60-k9.vrp,1,5807.814813,7266,6.924866506,22
A-n60-k9.vrp,1,5616.910915,7831,6.045088754,17
